perf1;"Quel est le temps d'accès à votre site comparé à la performance de référence du marché à <strong>2 secondes</strong>?"

intro1;"Nous avons récemment réalisé une étude de la page d'accueil de votre site (<strong>%s</strong>) depuis <strong>%s points de mesure</strong>."
intro2;"La page était monitorée toutes les <strong>%s minutes</strong> en utilisant un <strong>%s (%s)</strong> pendant les derniers <strong>%s jours</strong>. Cette approche permet de fournir les indicateurs de performance et de disponibilité les plus précis."
intro3;"Souhaitez-vous en savoir davantage? N'hésitez pas à nous contacter."

userexp1;"Votre site est <span class='h'>%s secondes %s</span> par rapport à la performance de référence de <strong>2 secondes</strong>!"
userexp2;"L'indicateur ci-dessus est le temps moyen de téléchargement de la page mesuré depuis <strong>tous</strong> les points de mesures."
userexp3;"Cela comprend le temps de connection, de chargement de tous les éléments ansi que le temps d'affichage et de traitement côté navigateur. Ce temps complet correspond à l'expérience utilisateur réelle."

avail1;"Quelle est la disponibilité de votre site pour vos utlisateurs et clients??"
avail2;"Le pourcentage ci-dessus indique le taux de disponibilité depuis tous les points de mesure."
avail3;"Ce résultat est <strong>%s</strong> que le taux de référence %s"

pageweight1;"Le nombre d'objet dans la page et le poids de la page elle-même peuvent significativement détériorer la performance. Pensez à réduire le nombre d'objets et la taille de vos pages."
pageweight2;"En réduisant les interactions successives entre le navigateur et votre application, vous réduirez le temps de chargement de la page."
pageweight3;"Utilisez les sprites CSS et compressez les fichiers JavaScript et CSS."

perfgraph;"Quelle est le point de mesure le plus rapide pour accèder à votre site? Quel est le point de mesure le moins performant? Avez-vous besoin d'un CDN?"
availgraph;"Servir les internautes implique de proposer un site disponible 24 heures par jours, 7 jours par semaine, 365 jours par an!  Particulièrement dans le cas d'un service payant!"

youravail;"Votre disponibilité est %s que prévu"
faster;"plus rapide"
slower;"plus lent"
better;"mieux"
worse;"moins bon"

avgperf;"Performance moyenne"
avgavail;"Disponibilité moyenne"

objects;"Objets"
pagew;"Poids de page"
size; "Taille"

availability;"Disponibilité"
performance;"Performance"

prepared;"Réalisé par"

numobjects;"Nombre d'Objets"
recmaximum;"Maximum Recommandé"
bytesdownloaded;"Bytes Téléchargé"